Metric,Value
ff_cap_lease,-55.71765365571276
ff_com_eq_apic,2275.0956175720094
ff_com_eq_gl,-137.0792170326291
ff_com_eq_par,158.71490633363706
ff_com_shs_out_secs,30247.0632583267
ff_debt_lt_curr,2729.1300083571805
ff_debt_lt_xcap,350.5362677144527
ff_dep_exp_xamort_cf,1520.947946660377
ff_dfd_tax_xitc_cf,-776.3290217697117
ff_disc_oper_inc,-100.0
ff_disc_oper_ps,-111.11111111111111
ff_div_pfd_cf,63.30000975733611
ff_eps,2848.1363652553364
ff_eps_contin_oper,43.63200988587696
ff_eps_secs,2850.4113833402052
ff_eps_xord,2655.311289557895
ff_gain_sale_assets_net,-110.66825477099471
ff_gw,1390.4618451482856
ff_ins_invest_tot,489.7491470172809
ff_invest,489.7491470172809
ff_invest_lt_oth,471.2404584527337
ff_invest_oth,471.2404584527337
ff_invest_sub,-50.55667830015366
ff_oper_exp,3197.6631914124973
ff_oper_inc_bef_dep,242.8712459384482
ff_opt_wrnt_cf,3325.8618170237874
ff_par_ps,-2.955987054778767
ff_pay_acct_cf,-204.41343404573774
ff_pfd_stk_nred,-40.803448123189156
ff_pfd_stk_red,-88.88886687788425
ff_stk_sale_xopt_cf,-432.1396534737243
ff_tot_invest_ret,-286.30921029388793
ff_treas_shs,241.69438110531118
ff_treas_stk,280.35958777464805
ff_wkcap_assets_oth,-137.4282937823908
ff_cash_generic,3313.687554658129
ff_gw_impair,-84.93090397719638
ff_intang_oth_impair,-100.0
ff_actg_chg,
ff_mkt_val_secs,99.11319658161665
ff_pbk_secs,-29.926611912261468
ff_bps_secs,246.2422232405919
ff_disc_oper,-100.0
ff_eq_aff_inc_ptx,227.1566708196471
ff_misc_exp_non_oper,-225.00349806584614
ff_int_exp_debt,5329.318676175868
ff_xord_items,-100.0
ff_assets_curr_misc,1648.3691118699307
ff_liabs_curr_misc,2084471741170412.0
ff_invest_sale_cf,152.02014781190923
ff_div_com_cf,-60.05389935539836
ff_stk_purch_cf,-84.17745500197134
ff_stk_sale_cf,2441.322506959683
ff_debt_st_cf,-17.114091286475055
ff_capex_fix,2938.448531833409
ff_capex_oth,76.78131371330804
ff_debt_lt_iss_cf,-107.51033876345186
ff_debt_lt_reduct_cf,416.24188556627865
ff_fin_uses_cf,-80.03581404440307
ff_fin_sources_cf,-32.97935161785435
ff_liabs_oth_xdfd_rev,214.22532730010948
ff_invest_purch_cf,1954.7631658659848
ff_cogs_xdep,256.90923719875985
ff_dep_amort_exp,1016.9343392889461
ff_rd_exp,346.09685415476883
ff_dps_secs,-85.43226381461676
ff_stk_opt_exp,565.789168836518
ff_amort_intang,458.16461072563504
ff_dep_exp,1260.1236242062473
ff_inven_fg,167.94240802062853
ff_inven_matl,142.91090976342696
ff_inven_prog_paymt,82.86529263685756
ff_inven_wip,129.29250721719387
ff_assets_oth_tang,394.5711807915547
ff_int_cap,-100.0
ff_int_inc_non_oper,662.4385591835444
ff_restate_ind,-85.71428571428571
ff_wkcap_ps,-2374.812788110298
ff_ppe_net_owned,1135.7444913945205
ff_debt_st_xoper,5318.395100548546
ff_debt_lt_xlease,350.5362677144527
ff_debt_lt_xoper,2548.7046117876216
ff_assets_tang,2582.8063010339893
ff_dfd_tax_rsrv,
ff_oper_prov,18.28741289800855
ff_pay_div,-53.10824805363865
ff_restruct_exp,-72.88686914846937
