,price_drop,period_thresh,increase_thresh,num_imploded,avg_imp_len
0,-0.4,52,0.0,2487,-1435 days +09:40:10.132690
1,-0.4,52,0.1,3022,-1462 days +21:37:02.898743
2,-0.4,52,0.2,3516,-1484 days +23:05:56.313993
3,-0.4,78,0.0,1642,-2013 days +09:16:52.911084
4,-0.4,78,0.1,2055,-2018 days +01:03:45.985401
5,-0.4,78,0.2,2471,-2001 days +01:50:08.498584
6,-0.4,104,0.0,1327,-2398 days +16:52:26.948003
7,-0.4,104,0.1,1689,-2384 days +21:40:10.657194
8,-0.4,104,0.2,2026,-2367 days +01:13:12.497532
9,-0.6,52,0.0,997,-1457 days +12:06:29.969910
10,-0.6,52,0.1,1202,-1425 days +20:11:10.881864
11,-0.6,52,0.2,1384,-1453 days +23:00:41.618497
12,-0.6,78,0.0,605,-2158 days +06:20:49.586777
13,-0.6,78,0.1,719,-2147 days +00:14:01.168289
14,-0.6,78,0.2,831,-2166 days +10:44:37.256318
15,-0.6,104,0.0,486,-2556 days +15:39:15.555556
16,-0.6,104,0.1,584,-2527 days +12:29:35.342466
17,-0.6,104,0.2,682,-2546 days +01:35:00.879765
18,-0.8,52,0.0,246,-1813 days +03:36:35.121951
19,-0.8,52,0.1,284,-1810 days +03:32:57.464789
20,-0.8,52,0.2,328,-1753 days +21:48:17.560976
21,-0.8,78,0.0,178,-2337 days +01:53:15.505618
22,-0.8,78,0.1,195,-2435 days +02:20:18.461538
23,-0.8,78,0.2,222,-2378 days +00:38:55.135135
24,-0.8,104,0.0,148,-2698 days +09:14:35.675676
25,-0.8,104,0.1,164,-2789 days +15:30:43.902439
26,-0.8,104,0.2,189,-2691 days +18:09:31.428571
